word_id;preferred_NL;variant1;variant2;variant3;variant4;variant5;variant6;variant7
162;Sechaenre I;;;;;;;
163;Mericheperre;;;;;;;
164;Abaï;;;;;;;
165;Aäqen;;;;;;;
166;Sesostris V;Senoeseret V;Senwoseret V;;;;;
167;Montoeemsaf;;;;;;;
168;Dedoemose II;;;;;;;
169;Mentoehotep V;;;;;;;
170;Wesermontoe;;;;;;;
171;Mentoehotep VI;;;;;;;
172;Senaäib;;;;;;;
173;Wepwawetemsaf;;;;;;;
174;2e Tussenperiode;Tweede Tussenperiode;Second Intermediate Period;;;;;
175;Nehesy;;;;;;;
176;Chatire;;;;;;;
177;Nebfaoere;;;;;;;
178;Webenre;;;;;;;
179;Aoetibre;;;;;;;
180;Secheperenre;;;;;;;
181;Djedcheroere;;;;;;;
182;Seanchibre;;;;;;;
183;Kakemoere;;;;;;;
184;Anchkare;;;;;;;
185;Hepoe;;;;;;;
186;Chaïan;;;;;;;
187;Chamoedi;;;;;;;
188;Sechaenre II;;;;;;;
189;Sjesji;;;;;;;
190;Jacob-hor;;;;;;;
191;Weseranat;;;;;;;
192;Bebanch;;;;;;;
193;Ahetepre;;;;;;;
194;Noebanchre;;;;;;;
195;Noebweserre;;;;;;;
196;Chaweserre;;;;;;;
197;Chamoere;;;;;;;
198;Jacob-baäl;;;;;;;
199;Amoe;;;;;;;
200;Antef V;;;;;;;
201;Sobekemsaf I;;;;;;;
202;Djehoety;;;;;;;
203;Mentoehotep VII;;;;;;;
204;Nebiriëraoe I;;;;;;;
205;Nebiriëraoe II;;;;;;;
206;Seweserenre;;;;;;;
207;Antef VI;;;;;;;
208;Antef VII;;;;;;;
209;Taä I;;;;;;;
210;Taä II;;;;;;;
211;Nieuwe Rijk;;;;;;;
212;Thoetmosis I;;;;;;;
213;Thoetmosis II;;;;;;;
214;Hatsjepsoet;hatshepsut;hatshepsout;hatshepshout;hatscepsut;hatschepsut;hatsepsut;hatsjepsoet
215;Thoetmosis III;;;;;;;
216;Thoetmosis IV;;;;;;;
217;Semenchkare;;;;;;;
218;Toetanchamon;;;;;;;
219;Aï;ay;eje;;;;;
220;Ramses I;;;;;;;
221;Seti I;;;;;;;
222;Ramses II;;;;;;;
223;Seti II;;;;;;;
224;Tawesret;;;;;;;
225;Sethnacht;sethnakht;sethnakhte;setnacht;setnakhte;;;
226;Ramses III;;;;;;;
227;Ramses IV;;;;;;;
228;Ramses V;;;;;;;
229;Ramses VI;;;;;;;
230;Ramses VII;;;;;;;
231;Ramses VIII;;;;;;;
232;Ramses IX;;;;;;;
233;Ramses X;;;;;;;
234;Ramses XI;;;;;;;
235;3e Tussenperiode;Derde Tussenperiode;Third Intermediate Period;;;;;
236;Amenemnesoet;;;;;;;
237;Psoesennes;psusennes;psousennes;psoesennes;;;;
238;Siamon;;;;;;;
239;Psoesennes II;;;;;;;
240;Pinedjem I;;;;;;;
241;Masaharta;;;;;;;
242;Djedchonsoeïoefanch;;;;;;;
243;Mencheperre;menkheperre;menkheperra;mencheperre;mencheperra;;;
244;Pinedjem II;;;;;;;
245;Psoesennes III;;;;;;;
246;Sjesjonq I;;;;;;;
247;Sjesjonq II;;;;;;;
248;Harsiësi;harsiese;harsiesis;harsiesi;;;;
249;Sjesjonq III;;;;;;;
250;Sjesjonq V;;;;;;;
251;Ioepoet;;;;;;;
252;Sjesjonq;;;;;;;
253;Ioewelot;;;;;;;
254;Horsiësis;;;;;;;
255;Pedoebastis I;;;;;;;
256;Ioepoet I;;;;;;;
257;Sjesjonq IV;;;;;;;
258;Roedamon;;;;;;;
259;Ioepoet II;;;;;;;
260;Sjesjonq VI;;;;;;;
